Project,Coverage > -95dBm (%),Coverage > -100dBm (%),Num_Transmitters,Reward,Output_File
libya_tile_square_centroid_103_459,91.919189453125,91.919189453125,20,"tensor(0.5633, device='cuda:0')",polygon_data\libya_tile_square_centroid_103_459\deployed_transmitters_20250903_060955.csv
libya_tile_square_centroid_103_460,93.61305236816406,93.61305236816406,18,"tensor(0.5445, device='cuda:0')",polygon_data\libya_tile_square_centroid_103_460\deployed_transmitters_20250903_060956.csv
libya_tile_square_centroid_103_461,91.68962097167969,91.68962097167969,16,"tensor(0.5377, device='cuda:0')",polygon_data\libya_tile_square_centroid_103_461\deployed_transmitters_20250903_060956.csv
libya_tile_square_centroid_103_462,91.87327575683594,91.87327575683594,18,"tensor(0.4740, device='cuda:0')",polygon_data\libya_tile_square_centroid_103_462\deployed_transmitters_20250903_060956.csv
libya_tile_square_centroid_103_463,93.44988250732422,93.44988250732422,16,"tensor(0.4829, device='cuda:0')",polygon_data\libya_tile_square_centroid_103_463\deployed_transmitters_20250903_060956.csv
libya_tile_square_centroid_103_464,93.28671264648438,93.28671264648438,22,"tensor(0.5716, device='cuda:0')",polygon_data\libya_tile_square_centroid_103_464\deployed_transmitters_20250903_060957.csv
libya_tile_square_centroid_103_465,93.28671264648438,93.28671264648438,19,"tensor(0.5072, device='cuda:0')",polygon_data\libya_tile_square_centroid_103_465\deployed_transmitters_20250903_060957.csv
libya_tile_square_centroid_103_466,91.8503189086914,91.8503189086914,19,"tensor(0.5699, device='cuda:0')",polygon_data\libya_tile_square_centroid_103_466\deployed_transmitters_20250903_060957.csv
libya_tile_square_centroid_103_467,93.49649810791016,93.49649810791016,18,"tensor(0.5729, device='cuda:0')",polygon_data\libya_tile_square_centroid_103_467\deployed_transmitters_20250903_060957.csv
libya_tile_square_centroid_104_133,94.98224639892578,94.98224639892578,19,"tensor(0.6448, device='cuda:0')",polygon_data\libya_tile_square_centroid_104_133\deployed_transmitters_20250903_060958.csv
libya_tile_square_centroid_104_430,91.87327575683594,91.87327575683594,18,"tensor(0.5959, device='cuda:0')",polygon_data\libya_tile_square_centroid_104_430\deployed_transmitters_20250903_060959.csv
libya_tile_square_centroid_104_431,91.73553466796875,91.73553466796875,16,"tensor(0.5126, device='cuda:0')",polygon_data\libya_tile_square_centroid_104_431\deployed_transmitters_20250903_060959.csv
libya_tile_square_centroid_104_432,93.40325927734375,93.40325927734375,20,"tensor(0.6459, device='cuda:0')",polygon_data\libya_tile_square_centroid_104_432\deployed_transmitters_20250903_060959.csv
libya_tile_square_centroid_104_433,93.37995147705078,93.37995147705078,18,"tensor(0.4449, device='cuda:0')",polygon_data\libya_tile_square_centroid_104_433\deployed_transmitters_20250903_061000.csv
libya_tile_square_centroid_104_434,91.87327575683594,91.87327575683594,17,"tensor(0.5329, device='cuda:0')",polygon_data\libya_tile_square_centroid_104_434\deployed_transmitters_20250903_061000.csv
libya_tile_square_centroid_104_435,91.89623260498047,91.89623260498047,22,"tensor(0.6914, device='cuda:0')",polygon_data\libya_tile_square_centroid_104_435\deployed_transmitters_20250903_061000.csv
libya_tile_square_centroid_104_436,93.24009704589844,93.24009704589844,14,"tensor(0.4117, device='cuda:0')",polygon_data\libya_tile_square_centroid_104_436\deployed_transmitters_20250903_061001.csv
libya_tile_square_centroid_104_437,93.51981353759766,93.51981353759766,21,"tensor(0.6655, device='cuda:0')",polygon_data\libya_tile_square_centroid_104_437\deployed_transmitters_20250903_061001.csv
libya_tile_square_centroid_104_439,91.78144836425781,91.78144836425781,20,"tensor(0.6000, device='cuda:0')",polygon_data\libya_tile_square_centroid_104_439\deployed_transmitters_20250903_061001.csv
libya_tile_square_centroid_104_454,91.8503189086914,91.8503189086914,16,"tensor(0.4901, device='cuda:0')",polygon_data\libya_tile_square_centroid_104_454\deployed_transmitters_20250903_061001.csv
libya_tile_square_centroid_104_455,93.42657470703125,93.42657470703125,18,"tensor(0.6247, device='cuda:0')",polygon_data\libya_tile_square_centroid_104_455\deployed_transmitters_20250903_061002.csv
libya_tile_square_centroid_104_456,93.35664367675781,93.35664367675781,21,"tensor(0.6809, device='cuda:0')",polygon_data\libya_tile_square_centroid_104_456\deployed_transmitters_20250903_061002.csv
libya_tile_square_centroid_104_457,91.75849914550781,91.75849914550781,15,"tensor(0.5470, device='cuda:0')",polygon_data\libya_tile_square_centroid_104_457\deployed_transmitters_20250903_061002.csv
libya_tile_square_centroid_104_458,91.919189453125,91.919189453125,22,"tensor(0.5344, device='cuda:0')",polygon_data\libya_tile_square_centroid_104_458\deployed_transmitters_20250903_061003.csv
libya_tile_square_centroid_104_459,94.98224639892578,94.98224639892578,23,"tensor(0.5378, device='cuda:0')",polygon_data\libya_tile_square_centroid_104_459\deployed_transmitters_20250903_061003.csv
libya_tile_square_centroid_104_460,91.68962097167969,91.68962097167969,17,"tensor(0.4994, device='cuda:0')",polygon_data\libya_tile_square_centroid_104_460\deployed_transmitters_20250903_061003.csv
libya_tile_square_centroid_104_461,91.82736206054688,91.82736206054688,15,"tensor(0.5704, device='cuda:0')",polygon_data\libya_tile_square_centroid_104_461\deployed_transmitters_20250903_061003.csv
libya_tile_square_centroid_104_462,93.56643676757812,93.56643676757812,19,"tensor(0.4564, device='cuda:0')",polygon_data\libya_tile_square_centroid_104_462\deployed_transmitters_20250903_061004.csv
libya_tile_square_centroid_104_463,91.78144836425781,91.78144836425781,20,"tensor(0.5617, device='cuda:0')",polygon_data\libya_tile_square_centroid_104_463\deployed_transmitters_20250903_061004.csv
libya_tile_square_centroid_104_464,91.87327575683594,91.87327575683594,21,"tensor(0.5434, device='cuda:0')",polygon_data\libya_tile_square_centroid_104_464\deployed_transmitters_20250903_061004.csv
libya_tile_square_centroid_104_465,91.9880599975586,91.9880599975586,15,"tensor(0.4489, device='cuda:0')",polygon_data\libya_tile_square_centroid_104_465\deployed_transmitters_20250903_061004.csv
libya_tile_square_centroid_104_466,93.33333587646484,93.33333587646484,22,"tensor(0.5418, device='cuda:0')",polygon_data\libya_tile_square_centroid_104_466\deployed_transmitters_20250903_061005.csv
libya_tile_square_centroid_104_467,91.87327575683594,91.87327575683594,18,"tensor(0.8255, device='cuda:0')",polygon_data\libya_tile_square_centroid_104_467\deployed_transmitters_20250903_061005.csv
libya_tile_square_centroid_105_132,91.71258544921875,91.71258544921875,19,"tensor(0.5426, device='cuda:0')",polygon_data\libya_tile_square_centroid_105_132\deployed_transmitters_20250903_061005.csv
libya_tile_square_centroid_105_133,91.78144836425781,91.78144836425781,17,"tensor(0.6668, device='cuda:0')",polygon_data\libya_tile_square_centroid_105_133\deployed_transmitters_20250903_061005.csv
libya_tile_square_centroid_105_316,93.51981353759766,93.51981353759766,23,"tensor(0.6350, device='cuda:0')",polygon_data\libya_tile_square_centroid_105_316\deployed_transmitters_20250903_061006.csv
libya_tile_square_centroid_105_430,91.66667175292969,91.66667175292969,22,"tensor(0.5555, device='cuda:0')",polygon_data\libya_tile_square_centroid_105_430\deployed_transmitters_20250903_061007.csv
libya_tile_square_centroid_105_431,93.51981353759766,93.51981353759766,20,"tensor(0.6212, device='cuda:0')",polygon_data\libya_tile_square_centroid_105_431\deployed_transmitters_20250903_061007.csv
libya_tile_square_centroid_105_432,93.37995147705078,93.37995147705078,12,"tensor(0.3255, device='cuda:0')",polygon_data\libya_tile_square_centroid_105_432\deployed_transmitters_20250903_061007.csv
libya_tile_square_centroid_105_433,91.75849914550781,91.75849914550781,21,"tensor(0.6270, device='cuda:0')",polygon_data\libya_tile_square_centroid_105_433\deployed_transmitters_20250903_061007.csv
libya_tile_square_centroid_105_434,93.28671264648438,93.28671264648438,24,"tensor(0.5693, device='cuda:0')",polygon_data\libya_tile_square_centroid_105_434\deployed_transmitters_20250903_061007.csv
libya_tile_square_centroid_105_435,93.35664367675781,93.35664367675781,21,"tensor(0.5714, device='cuda:0')",polygon_data\libya_tile_square_centroid_105_435\deployed_transmitters_20250903_061008.csv
libya_tile_square_centroid_105_436,92.01101684570312,92.01101684570312,24,"tensor(0.5240, device='cuda:0')",polygon_data\libya_tile_square_centroid_105_436\deployed_transmitters_20250903_061008.csv
libya_tile_square_centroid_105_437,91.87327575683594,91.87327575683594,18,"tensor(0.6217, device='cuda:0')",polygon_data\libya_tile_square_centroid_105_437\deployed_transmitters_20250903_061008.csv
libya_tile_square_centroid_105_439,93.5897445678711,93.5897445678711,22,"tensor(0.6215, device='cuda:0')",polygon_data\libya_tile_square_centroid_105_439\deployed_transmitters_20250903_061008.csv
libya_tile_square_centroid_105_454,93.35664367675781,93.35664367675781,23,"tensor(0.6143, device='cuda:0')",polygon_data\libya_tile_square_centroid_105_454\deployed_transmitters_20250903_061009.csv
libya_tile_square_centroid_105_455,91.87327575683594,91.87327575683594,14,"tensor(0.4511, device='cuda:0')",polygon_data\libya_tile_square_centroid_105_455\deployed_transmitters_20250903_061009.csv
libya_tile_square_centroid_105_456,91.87327575683594,91.87327575683594,18,"tensor(0.5376, device='cuda:0')",polygon_data\libya_tile_square_centroid_105_456\deployed_transmitters_20250903_061009.csv
libya_tile_square_centroid_105_457,93.28671264648438,93.28671264648438,21,"tensor(0.6630, device='cuda:0')",polygon_data\libya_tile_square_centroid_105_457\deployed_transmitters_20250903_061009.csv
